Period;Trade Flow;Reporter;Partner;2nd Partner;Customs Desc;Transport Mode;Commodity Code;Trade Value (US$);Net Weight(kg);Gross Weight;Qty Unit;Qty;Alternate Quantity unit;Alternate Quantity
Filter by Period;Filter by Trade Flow;Filter by Reporter;Filter by Partner;Filter by 2nd Partner;Filter by Customs Desc;Filter by Transport Mode;Filter by Commodity Code;Filter by Trade Value (US$);Filter by Net Weight(kg);Filter by Gross Weight;Filter by Qty Unit;Filter by Qty;Filter by Alternate Quantity unit;Filter by Alternate Quantity
2017;X;Chile;Japan;World;TOTAL CPC;TOTAL MOT;121229;$8,652,244;5091540;;kg;5091540;kg;5091540
2017;X;Chile;Rep. of Korea;World;TOTAL CPC;TOTAL MOT;121229;$1,383,912;572010;;kg;572010;kg;572010
2017;X;Chile;Mexico;World;TOTAL CPC;TOTAL MOT;121229;$105,000;52500;;kg;52500;kg;52500
2017;X;Chile;Other Asia, nes;World;TOTAL CPC;TOTAL MOT;121229;$1,309,385;332458;;kg;332458;kg;332458
2017;X;Chile;Netherlands;World;TOTAL CPC;TOTAL MOT;121229;$20,597;20230;;kg;20230;kg;20230
2017;X;Chile;New Zealand;World;TOTAL CPC;TOTAL MOT;121229;$1,957;96;;kg;96;kg;96
2017;X;Chile;Norway;World;TOTAL CPC;TOTAL MOT;121229;$5,761,584;3168078;;kg;3168078;kg;3168078
2017;X;Chile;Philippines;World;TOTAL CPC;TOTAL MOT;121229;$418,424;151110;;kg;151110;kg;151110
2017;X;Chile;Spain;World;TOTAL CPC;TOTAL MOT;121229;$1,900,610;516614;;kg;516614;kg;516614
2017;X;Chile;Thailand;World;TOTAL CPC;TOTAL MOT;121229;$239,296;131070;;kg;131070;kg;131070
2017;X;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$575,157;276134;;kg;276134;kg;276134
2018;M;Chile;World;World;TOTAL CPC;TOTAL MOT;121229;$2,936,234;2650705;;kg;2650705;kg;2650705
2018;M;Chile;Argentina;World;TOTAL CPC;TOTAL MOT;121229;$33,756;9600;;kg;9600;kg;9600
2018;M;Chile;Brazil;World;TOTAL CPC;TOTAL MOT;121229;$61,308;40000;;kg;40000;kg;40000
2018;M;Chile;Canada;World;TOTAL CPC;TOTAL MOT;121229;$25,169;12000;;kg;12000;kg;12000
2018;M;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$139,840;56271;;kg;56271;kg;56271
2018;M;Chile;Denmark;World;TOTAL CPC;TOTAL MOT;121229;$4;0;;kg;0;kg;0
2018;M;Chile;France;World;TOTAL CPC;TOTAL MOT;121229;$2,050;500;;kg;500;kg;500
2018;M;Chile;Indonesia;World;TOTAL CPC;TOTAL MOT;121229;$1,534,511;1554875;;kg;1554875;kg;1554875
2018;M;Chile;Ireland;World;TOTAL CPC;TOTAL MOT;121229;$377,687;704000;;kg;704000;kg;704000
2018;M;Chile;Mexico;World;TOTAL CPC;TOTAL MOT;121229;$194,551;118500;;kg;118500;kg;118500
2018;M;Chile;Peru;World;TOTAL CPC;TOTAL MOT;121229;$473;35;;kg;35;kg;35
2018;M;Chile;Philippines;World;TOTAL CPC;TOTAL MOT;121229;$87;1;;kg;1;kg;1
2018;M;Chile;Thailand;World;TOTAL CPC;TOTAL MOT;121229;$1,856;49;;kg;49;kg;49
2018;M;Chile;USA;World;TOTAL CPC;TOTAL MOT;121229;$564,937;154872;;kg;154872;kg;154872
2018;X;Chile;World;World;TOTAL CPC;TOTAL MOT;121229;$98,340,379;57966796;;kg;57966796;kg;57966796
2018;X;Chile;Canada;World;TOTAL CPC;TOTAL MOT;121229;$4,416,933;1523723;;kg;1523723;kg;1523723
2018;X;Chile;China;World;TOTAL CPC;TOTAL MOT;121229;$65,270,793;42033349;;kg;42033349;kg;42033349
2018;X;Chile;Denmark;World;TOTAL CPC;TOTAL MOT;121229;$1,724,738;746075;;kg;746075;kg;746075
2018;X;Chile;France;World;TOTAL CPC;TOTAL MOT;121229;$7,704,576;3897907;;kg;3897907;kg;3897907
2018;X;Chile;Germany;World;TOTAL CPC;TOTAL MOT;121229;$51,028;37800;;kg;37800;kg;37800
